# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = rats_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = rats_1.data.R
# init = 2 (Default)
# random
#   seed = 1160071710
# output
#   file = rats_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,mu_alpha,mu_beta,sigmasq_y,sigmasq_alpha,sigmasq_beta,sigma_y,sigma_alpha,sigma_beta,alpha0
# Adaptation terminated
# Step size = 0.417886
# Diagonal elements of inverse mass matrix:
# 7.81388, 7.72353, 8.03231, 7.6502, 6.64031, 7.30276, 7.09275, 5.93249, 8.54289, 8.06743, 7.1291, 7.13539, 6.71645, 7.47182, 7.77923, 7.25414, 5.82874, 7.84096, 8.40133, 6.91886, 7.47377, 8.00257, 6.37695, 7.19499, 6.17469, 6.73503, 7.88244, 8.11599, 7.16024, 6.77562, 0.0598069, 0.0633134, 0.0690631, 0.072692, 0.057909, 0.0568569, 0.0615644, 0.0526464, 0.0625602, 0.0740735, 0.061224, 0.0571797, 0.0683163, 0.0583578, 0.0589768, 0.0532454, 0.0500084, 0.0545787, 0.0605864, 0.0568322, 0.0638176, 0.0527734, 0.0574681, 0.0526724, 0.0579337, 0.0661095, 0.0587327, 0.052259, 0.0549137, 0.0549307, 7.37547, 0.0119039, 0.0219302, 0.0865871, 0.112591

-453.967,0.921089,0.417886,3,7,0,244.009,251.62,259.966,233.307,229.518,252.402,235.784,248.351,279.499,216.264,258.083,232.359,244.534,264.594,239.568,244.508,232.964,236.684,255.234,242.742,247.307,223.08,228.543,244.216,236.016,250.699,248.705,244.611,215.226,238.776,6.26313,7.56156,6.96705,5.19608,6.51654,5.99451,6.37361,6.02618,7.23928,6.02136,6.6215,5.98535,5.96956,6.79209,5.87115,5.90149,6.31996,6.42912,6.85057,5.77724,6.5962,6.27937,6.04907,6.11125,6.5329,6.66147,5.51861,5.80404,5.1553,6.64759,240.105,6.1654,49.0324,178.417,0.379731,7.00231,13.3573,0.616223,104.466
-447.403,0.991198,0.417886,3,7,0,240.061,251.974,252.983,229.719,234.586,244.499,229.091,251.053,281.221,220.491,255.589,230.075,242.275,271.689,245.276,246.359,236.764,233.587,256.132,240.563,244.734,225.748,225.063,247.614,234.225,251.483,253.406,242.139,212.007,240.445,5.94582,7.24449,6.49743,5.31914,6.6481,6.51944,5.90005,6.57895,6.95643,5.78314,7.04984,5.69347,5.60574,6.33681,5.82498,5.81749,6.36803,6.17374,6.5756,6.32141,6.7528,6.47667,5.84417,6.27049,6.4077,6.21032,5.36694,5.8116,5.62194,6.28508,242.009,6.07382,44.7904,179.786,0.267056,6.69256,13.4084,0.516774,108.385
-438.464,0.977665,0.417886,3,7,0,239.22,249.248,254.662,227.893,232.99,245.129,227.498,247.571,278.939,221.501,254.922,232.082,239.874,272.589,243.082,244.26,236.337,235.738,252.312,242.803,246.441,222.003,223.071,246.868,233.352,250.995,256.833,243.101,214.11,239.193,6.40788,7.25163,6.64058,5.34281,6.78112,6.45908,6.03648,6.54846,6.59787,5.68332,6.73923,5.98682,6.07765,6.79142,5.70821,5.82343,6.48173,5.95569,6.2194,6.2729,6.79275,6.10424,5.74802,6.48677,6.48174,6.36629,5.86387,5.65117,5.6853,6.06382,242.148,6.18294,40.1552,151.366,0.206867,6.33682,12.3031,0.454827,106.123
-430.524,0.786068,0.417886,3,7,0,240.087,249.526,254.024,230.391,228.008,250.264,226.714,247.376,284.586,221.086,257.175,226.733,242.187,270.417,242.306,247.799,231.246,236.277,253.365,244.075,245.057,222.343,230.404,244.601,229.811,252.159,256.302,245.797,213.85,239.926,6.04208,7.14864,6.90965,5.34621,6.72816,6.07627,5.93162,6.0789,7.07221,5.70357,6.5162,6.03032,6.11687,6.63453,5.28095,5.90911,6.67961,6.0932,6.45473,5.98525,6.32081,5.70529,5.56411,6.07728,7.11965,6.01459,5.80334,5.72184,5.76961,6.13855,236.829,6.1342,24.1181,278.273,0.236054,4.91102,16.6815,0.485854,101.877
-435.374,0.957232,0.417886,3,7,0,237.808,248.805,250.243,234.471,234.842,250.523,225.39,250.071,283.636,216.176,260.715,227.65,241.579,268.718,242.439,242.021,227.888,243.334,254.286,239.645,252.966,226.802,227.976,248.364,233.733,257.551,248.801,239.567,220.136,244.108,5.90903,6.96349,6.38206,5.42361,6.35322,6.48411,6.11265,6.74489,7.16824,5.925,7.03482,6.16898,6.02439,6.77995,5.37864,5.85454,5.93082,5.49232,6.66537,6.16727,6.49932,6.30226,6.16881,5.5551,6.83337,6.84001,6.18361,5.73089,5.92319,6.0354,240.8,6.26806,44.1832,277.457,0.236283,6.64705,16.657,0.48609,102.902
-432.183,1,0.417886,3,7,0,236.313,250.716,255.06,236.056,230.843,249.065,227.319,247.986,286.197,217.917,259.989,229.777,240.238,265.712,243.234,247.725,232.242,239.603,250.999,243.563,242.521,226.188,229.357,248.276,238.199,259.572,256.499,243.305,219.155,241.061,5.91806,7.17407,6.36698,5.70015,6.61187,6.05388,6.24549,6.38484,6.96803,5.91918,6.5803,5.93976,6.3115,6.80958,5.72695,6.03836,6.41306,5.82899,6.43924,6.18035,6.33562,5.99225,6.1202,6.15514,7.14052,6.12264,5.54128,6.13922,6.19784,6.34679,245.091,6.22825,32.9957,251.261,0.142307,5.74419,15.8512,0.377236,108.07
-437.136,0.840711,0.417886,3,7,0,235.253,248.829,254.703,232.894,227.952,248.53,234.455,253.594,284.362,216.437,257.957,232.845,244.945,270.332,246.906,244.077,232.951,237.908,254.184,241.962,248.273,227.806,230.81,248.136,234.095,253.564,249.972,241.973,219.41,241.438,6.02393,6.77462,6.54639,5.54888,6.5873,6.19137,5.79944,6.52599,6.94639,6.32988,6.99019,6.60051,6.05644,6.58186,5.69289,6.25989,6.26948,6.04729,5.93229,5.98843,6.36094,6.15928,5.90021,5.78868,6.83544,6.67315,6.33108,5.69906,5.65928,5.97248,244.297,6.29056,42.8601,382.993,0.121977,6.54676,19.5702,0.349253,105.905
-442.22,0.878188,0.417886,3,7,0,238.372,248.397,250.567,234.548,232.261,252.387,233.752,250.435,283.435,216.582,256.786,231.601,244.357,270.152,245.919,245.435,236.203,236.373,255.095,242.931,243.989,229.547,223.99,251.925,231.917,254.826,252.31,243.596,216.864,241.527,5.67123,6.3916,7.022,5.12875,6.57533,6.56272,5.98225,6.50941,6.68522,6.03041,6.74327,6.39099,6.13049,6.84338,5.57428,6.06799,6.41218,5.86448,6.56868,5.69319,6.07311,6.04547,6.12169,5.97276,6.56825,6.33517,6.31757,6.07707,5.3979,6.12091,243.362,6.18909,38.6125,221.514,0.181585,6.2139,14.8833,0.426128,107.202
-445.457,0.981406,0.417886,3,7,0,239.932,246.024,253.909,231.195,230.8,245.959,222.63,247.325,281.532,222.404,261.179,227.158,240.915,266.06,239.81,245.107,227.309,245.082,252.089,242.526,249.485,221.957,234.965,237.718,236.269,251.348,255.564,243.263,219.382,238.934,6.48367,7.40237,5.77623,5.78253,6.44322,5.77023,6.01222,6.25693,7.08101,5.68455,6.61168,5.78901,6.15224,6.22826,5.32858,5.77959,6.00062,5.84342,6.10362,6.30085,6.65083,5.9551,5.32026,5.83759,6.91186,6.59175,5.48057,5.68425,5.97406,6.15026,242.262,6.06156,38.3506,181.499,0.256329,6.19279,13.4722,0.506289,108.907
-451.652,0.849031,0.417886,3,7,0,238.55,245.675,256.108,232.625,233.891,244.309,224.751,247.783,282.455,218.372,257.58,228.023,238.988,266.959,241.779,244.734,229.17,246.716,250.418,242.533,247.045,225.996,237.204,236.408,240.281,253.756,254.614,241.165,217.591,240.637,6.24039,7.098,5.99256,5.97015,6.33188,5.9686,6.0912,6.534,7.22203,5.59466,7.13993,6.30473,6.43133,6.66024,5.3165,5.52457,6.32185,6.29599,6.0643,6.2338,6.50519,5.9537,5.55878,5.70795,7.04002,6.55396,5.71909,5.75912,6.16407,5.59785,240.077,6.10772,36.1339,145.552,0.202452,6.01115,12.0645,0.449947,105.707
-439.209,0.996896,0.417886,3,7,0,238.693,246.601,252.847,227.737,234.118,251.113,220.041,245.09,284.097,221.608,256.014,229.6,241.458,264.456,241.477,246.397,232.701,242.563,254.694,242.55,251.518,224.4,231.573,242.778,236.92,256.997,251.583,242.396,216.84,243.015,6.51002,7.10435,6.35876,5.47672,6.18514,5.94183,5.70815,6.88298,7.15495,5.90959,6.93227,5.54611,6.07511,6.62702,5.80025,5.60273,6.55793,5.65746,6.38849,6.43352,6.61934,5.9656,5.68234,5.99371,7.29533,6.64559,5.71287,5.99939,5.76841,6.2063,238.728,6.15942,41.2921,162.863,0.254928,6.42589,12.7618,0.504904,103.22
-437.825,1,0.417886,3,7,0,241.084,248.713,251.85,236.884,229.133,249.135,236.529,251.53,285.029,216.147,260.741,226.529,243.524,272.575,244.885,242.718,231.215,240.093,251.534,240.9,246.351,227.427,225.458,246.611,232.042,251.33,258.309,243.774,218.448,240.321,5.64969,7.11475,6.73126,5.21667,7.01297,6.40402,6.16742,6.01033,7.09211,5.77109,6.73654,6.68437,6.26044,6.83539,4.95553,6.1911,6.07009,5.99964,6.44297,5.67338,6.26816,5.72204,5.76463,5.78498,6.66968,6.49296,6.02567,5.65986,5.5137,6.07074,245.374,6.35574,32.9422,224.388,0.330365,5.73953,14.9796,0.574774,105.548
-433.259,0.998907,0.417886,3,7,0,239.792,248.7,253.264,236.004,229.113,249.728,237.043,251.491,284.203,217.564,260.267,227.482,243.195,272.786,245.555,243.405,230.832,240.439,249.848,240.238,245.436,226.872,225.36,247.715,232.065,252.544,258.419,243.044,218.226,241.136,5.89959,7.16042,6.64971,5.28066,6.91736,6.49296,6.12023,6.06759,7.13322,5.69937,6.70345,6.52705,6.34818,6.87996,5.15128,6.16876,6.07105,5.88938,6.40478,5.79162,6.19906,5.81508,5.72131,5.89273,6.62777,6.54062,6.00297,5.46081,5.41491,6.13141,243.901,6.30496,32.6598,246.987,0.340221,5.71488,15.7158,0.583285,105.192
