# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = rats_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = rats_2.data.R
# init = 2 (Default)
# random
#   seed = 1160071740
# output
#   file = rats_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,mu_alpha,mu_beta,sigmasq_y,sigmasq_alpha,sigmasq_beta,sigma_y,sigma_alpha,sigma_beta,alpha0
# Adaptation terminated
# Step size = 0.400844
# Diagonal elements of inverse mass matrix:
# 8.24988, 6.97895, 6.33403, 7.84111, 8.26983, 6.93571, 6.39411, 8.6224, 8.07208, 8.07784, 9.02287, 7.1827, 7.66059, 6.76335, 7.2516, 7.15614, 7.60862, 8.41916, 7.09552, 7.20647, 7.69803, 6.97336, 6.55236, 8.6201, 7.85168, 8.47396, 7.65152, 6.90531, 7.73423, 6.62112, 0.0655252, 0.0600749, 0.0682563, 0.0699285, 0.0475194, 0.056161, 0.0627203, 0.0577179, 0.0683645, 0.060595, 0.0643566, 0.0666988, 0.0476522, 0.0594209, 0.0636814, 0.0572345, 0.0595401, 0.0523193, 0.0571448, 0.0633613, 0.0544646, 0.057528, 0.054061, 0.0608886, 0.0649128, 0.0715015, 0.0646026, 0.0536405, 0.0571256, 0.0596563, 6.76417, 0.00924846, 0.0188934, 0.0789487, 0.107273

-445.908,1,0.400844,3,7,0,239.706,248.686,253.847,232.951,231.512,249.206,234.917,246.92,276.636,224.352,255.995,227.759,244.556,263.859,239.979,245.136,233.653,243.958,252.739,240.387,250.057,224.692,229.404,244.192,236.241,254.173,259.687,244.237,218.027,242.423,5.93282,7.36196,6.62803,5.56614,6.47983,5.84826,5.75978,6.59018,6.65216,6.21076,6.10708,6.18446,6.06566,6.36342,5.66769,5.84057,6.20666,5.99402,6.7994,5.74989,6.516,5.95775,5.61255,6.03165,6.75919,6.49038,5.17475,6.12939,5.60048,5.95122,239.535,6.20627,57.7172,154.273,0.337564,7.59718,12.4207,0.581003,102.997
-446.764,0.967882,0.400844,3,7,0,239.657,244.376,251.865,234.922,232.984,247.451,228.222,251.662,285.402,213.723,254.361,229.372,238.551,268.115,239.296,251.581,231.014,238.339,251.854,242.039,241.674,224.886,226.25,248.536,231.904,252.949,251.455,243.945,215.868,240.555,6.10725,7.09301,6.48538,5.05316,7.0229,6.09476,6.04929,6.38891,7.41774,5.71561,6.96686,5.82301,6.59635,6.90126,5.01386,6.19483,6.2469,6.44956,6.30301,5.99905,6.58016,5.65441,6.32391,6.26925,6.38317,6.59607,5.94807,5.64053,5.63117,6.37802,243.391,6.24522,30.3684,213.742,0.213686,5.51075,14.6199,0.462262,105.996
-448.978,0.881626,0.400844,3,7,0,239.109,246.278,252.009,233.727,227.437,247.243,225.616,245.09,282.694,216.325,259.112,223.388,245.305,265.879,243.642,243.398,226.546,237.719,253.295,243.991,248.113,226.34,232.177,240.863,231.717,255.784,261.992,239.483,217.249,237.485,6.01682,7.7179,6.80586,5.49783,6.74804,6.16401,5.96845,6.45381,7.37051,6.04001,6.84035,6.02719,6.10138,6.82589,5.75274,6.11771,6.18454,5.62552,6.16492,6.04254,6.11368,6.40664,5.6093,6.09066,6.9632,6.55136,6.58523,5.45552,5.88033,5.77645,237.17,6.15019,44.5289,190.096,0.503868,6.673,13.7875,0.709837,101.866
-445.16,0.999917,0.400844,3,7,0,234.343,247.66,252.076,236.023,228.248,247.86,227.392,244.751,283.654,224.238,254.955,224.913,244.609,268.333,244.478,249.369,226.829,235.369,249.369,240.758,246.303,222.229,229.405,244.783,236.585,254.775,257.503,240.879,219.845,239.818,6.05008,7.37227,6.57075,5.27314,6.2062,5.93687,5.53449,6.36631,7.27235,6.27845,6.98155,5.91728,6.24867,6.57947,5.64561,5.94264,6.52029,5.61172,6.58149,6.18623,5.97919,6.50882,5.66217,5.86045,7.08744,6.53374,5.96265,5.48276,6.1442,5.72233,242.829,6.23733,42.2462,197.215,0.46356,6.49971,14.0433,0.680852,105.608
-442.195,0.944932,0.400844,3,7,0,245.724,247.037,253.738,231.255,237.28,250.016,229.783,251.302,280.454,219.048,258.804,226.267,241.129,267.04,239.751,242.303,230.423,241.712,251.785,242.554,250.917,224.667,229.796,239.37,231.263,251.447,250.149,245.216,218.831,237.956,5.72881,7.12034,6.87924,5.3107,6.25269,6.25086,6.12251,6.5714,7.26956,5.76389,6.52398,6.21955,5.75918,7.40083,5.36445,5.67326,6.62963,5.84604,6.07908,6.24296,6.72135,5.76506,5.42466,5.74655,6.78573,6.96385,5.52789,6.00947,6.01952,5.99105,242.455,6.34441,32.6587,205.664,0.340662,5.71478,14.341,0.583663,102.878
-438.728,1,0.400844,3,7,0,243.436,246.427,254.463,230.867,234.498,253.05,231.672,249.575,284.026,217.638,260.165,226.345,243.558,268.948,238.986,240.426,233.169,237.86,254.993,244.087,251.771,225.105,229.692,242.205,230.019,251.507,252.006,244.663,221.827,241,5.55443,7.24095,6.64071,5.12478,6.64772,6.05826,5.87266,6.64042,7.19444,5.82816,6.90345,6.23012,5.6699,7.4645,5.4659,5.94582,6.7341,5.5381,6.10321,6.39126,6.68018,5.89967,5.4762,5.74571,7.09801,6.78053,5.97427,6.05177,5.97851,6.00826,242.783,6.27521,34.2348,191.47,0.545766,5.85105,13.8373,0.73876,104.728
-433.756,1,0.400844,3,7,0,237.088,251.113,249.774,234.654,230.244,246.631,226.372,246.944,281.423,221.123,256.918,229.98,242.876,266.735,246.558,251.082,230.864,242.993,254.429,237.908,245.63,226.108,228.936,248.387,240.074,255.343,257.725,242.678,215.144,239.809,6.54704,7.08797,6.43157,5.28705,6.57888,6.37457,5.93011,6.53902,7.22464,5.75377,6.84504,5.92528,6.53079,6.40207,5.2075,5.9453,6.07826,6.24977,6.7793,5.62993,6.40125,5.74807,5.70246,5.79231,6.82712,6.44529,5.67314,5.48888,5.50337,6.02029,244.697,6.26532,32.8111,169.537,0.263234,5.7281,13.0207,0.513063,106.86
-429.742,0.853534,0.400844,3,7,0,240.372,249.184,249.187,230.205,232.413,246.578,228.754,249.44,284.722,217.513,252.409,227.197,239.814,265.618,244.45,246.611,229.688,242.872,257.823,239.965,245.536,225.988,227.774,246.038,236.932,256.283,255.095,241.943,216.427,243.093,6.38375,7.11751,6.33579,5.1772,6.37507,6.38744,5.99559,6.58017,7.20209,5.78585,6.84985,5.63161,6.63485,6.71476,5.43066,5.85323,5.91947,6.14653,6.53959,5.59625,6.50929,5.61436,5.79064,5.98549,7.00052,6.84809,5.7362,5.64457,5.61063,6.16041,242.271,6.20514,39.0518,195.64,0.339236,6.24914,13.9871,0.58244,105.758
-441.856,0.782814,0.400844,3,7,0,237.202,245.752,250.919,232.966,232.256,245.857,230.873,250.981,282.583,221.258,265.356,227.504,241.786,271.092,243.034,248.343,227.12,237.99,257.585,246.265,249.298,229.125,228.122,242.345,235.412,257.959,256.654,244.383,214.588,240.011,5.82643,7.30739,6.24774,5.31127,6.57073,6.13899,6.30913,6.59642,7.15762,5.45759,6.99701,5.49812,6.70451,6.84488,5.3157,5.73245,6.01128,5.96752,7.07696,5.98214,6.3826,6.0068,5.74377,6.0882,7.02308,6.68736,5.7746,5.70387,5.43652,6.35911,240.337,6.23343,31.0476,176.806,0.282695,5.57203,13.2968,0.531691,103.202
-437.727,0.985416,0.400844,3,7,0,242.491,241.377,254.648,227.081,233.56,250.024,230.889,247.686,281.473,215.814,255.318,227.905,240.326,270.679,239.815,242.294,229.567,242.387,256.054,242.369,248.816,226.145,234.034,249.59,236.463,253.938,251.184,243.592,220.69,242.188,6.28249,7.12264,6.75999,5.17164,6.76195,6.12845,5.81,6.65987,7.47691,6.09768,6.83757,6.46968,6.37768,6.75439,5.58355,5.96942,6.23837,5.71906,6.08294,6.33246,6.89596,6.05518,5.63333,5.63148,6.79096,6.84837,6.403,5.65494,5.88867,6.09857,245.445,6.24607,39.1335,209.035,0.287814,6.25567,14.458,0.536483,108.032
-439.312,0.967125,0.400844,3,7,0,237.45,250.065,251.278,233.953,228.603,251.116,229.862,247.438,284.579,220.54,259.714,223.254,243.217,267.321,245.752,246.69,234.148,242.318,252.273,238.765,250.644,224.471,218.677,241.167,230.813,254.647,256.309,243.592,216.844,243.191,5.97413,6.81586,6.33183,5.58567,6.71291,6.23365,5.98989,6.10134,6.68637,5.55262,6.84345,5.76631,6.25932,6.63624,5.27769,6.0984,6.47776,5.98468,6.56977,5.73956,6.44288,5.65735,5.36848,5.74407,6.7706,6.34992,5.52117,6.20523,5.20612,6.3165,239.163,6.22499,28.9453,208.181,0.220952,5.38008,14.4285,0.470055,102.213
-434.556,1,0.400844,3,7,0,237.145,247.428,250.85,234.259,233.599,249.591,225.46,247.978,282.687,216.595,254.221,232.088,240.495,269.177,242.242,244.176,233.924,237.4,255.007,242.64,242.967,229.27,230.025,246.497,237.788,258.12,253.134,240.831,219.477,241.878,6.09721,6.97674,6.59893,4.9461,6.31203,6.20435,5.97122,6.58135,7.41174,6.30307,6.69974,6.49528,6.40368,6.89989,5.45399,5.83142,5.91527,5.41186,6.59892,6.38007,6.24354,6.07667,5.71978,6.1782,7.09008,6.55018,6.22868,5.84752,5.70152,6.01537,242.964,6.12099,42.8711,180.018,0.261861,6.5476,13.4171,0.511724,108.302
-443.354,0.853053,0.400844,3,7,0,245.158,253.375,248.457,231.725,230.573,249.421,223.086,248.004,283.867,220.365,254.532,229.735,243.057,266.384,244.522,242.198,236.78,239.873,256.088,246.145,245.2,225.241,228.756,246.674,236.726,256.418,258.722,240.95,220.776,239.023,5.91025,7.01156,6.37864,5.25516,5.92104,5.944,5.86308,6.60466,6.85722,6.01114,6.93548,5.8949,6.5653,6.57078,5.80928,5.9082,5.9373,5.53439,6.30669,5.98272,6.57205,6.1009,6.05545,5.99297,6.57258,6.50806,6.63309,5.88385,5.49723,6.09227,242.239,6.19087,44.7735,135.313,0.123934,6.6913,11.6324,0.352043,106.04
-435.819,0.999495,0.400844,3,7,0,238.114,245.827,252.167,236.285,232.461,248.737,223.238,252.391,284.199,217.039,260.717,226.004,237.38,266.539,246.053,241.805,229.084,238.302,255.432,244.533,250.413,224.337,229.403,243.075,236.325,252.921,250.868,242.193,213.736,243.553,6.54359,6.71613,6.24259,5.92343,6.577,6.12518,6.09977,6.56311,6.88066,5.87418,6.70374,6.3986,6.47703,6.80207,5.49012,6.05781,6.12673,6.0234,6.61453,5.71895,6.42864,6.10975,5.88978,5.93388,6.74365,6.08065,5.70432,5.71052,5.60958,6.65486,242.647,6.18352,37.2152,220.119,0.175414,6.10043,14.8364,0.418825,106.609
-437.271,0.785789,0.400844,3,7,0,236.66,245.735,252.921,237.229,233.485,250.628,224.65,251.251,283.047,216.186,260.712,227.778,239.294,266.918,246.531,243.88,230.991,240.226,254.227,245.307,249.794,225.244,228.666,241.336,235.174,253.369,251.85,241.767,213.678,245.663,6.69633,6.71168,6.18234,5.9893,6.46467,6.13402,6.20323,6.59241,6.86438,5.77879,6.71424,6.30411,6.51869,6.76341,5.49115,6.01635,6.19965,5.74396,6.72367,5.92222,6.42005,6.08006,5.91772,5.9769,6.71852,6.10693,5.8542,5.54727,5.58919,6.64071,240.249,6.13841,38.6023,203.733,0.139526,6.21308,14.2735,0.373531,105.204
-437.871,0.960278,0.400844,3,7,0,235.08,246.227,250.654,233.857,234.227,247.936,225.813,251.706,282.169,215.277,260.907,227.397,243.182,267.537,247.532,244.054,231.187,238.67,253.973,246.496,255.223,227.976,231.203,239.49,235.439,253.693,253.876,243.124,215.542,243.706,6.24493,6.7561,6.12679,5.76359,6.42474,5.96388,6.1252,6.6428,6.97649,5.79871,6.6876,6.37562,6.14695,6.80833,5.96225,5.97951,6.55667,5.84585,6.95063,6.04734,6.44065,6.25326,5.86762,5.83001,7.2127,6.3357,6.12737,5.58905,5.62658,6.32966,241.378,6.18616,39.9394,241.577,0.176597,6.31976,15.5427,0.420235,105.283
