# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = rats_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = rats_4.data.R
# init = 2 (Default)
# random
#   seed = 1160071740
# output
#   file = rats_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,mu_alpha,mu_beta,sigmasq_y,sigmasq_alpha,sigmasq_beta,sigma_y,sigma_alpha,sigma_beta,alpha0
# Adaptation terminated
# Step size = 0.453951
# Diagonal elements of inverse mass matrix:
# 6.60168, 6.81776, 6.86812, 7.19088, 6.36426, 7.50393, 7.72923, 7.76686, 7.17085, 6.87272, 7.92184, 5.64248, 6.92245, 7.31525, 6.41929, 5.91402, 7.05244, 7.73727, 7.17829, 6.34754, 6.86036, 6.84153, 5.54849, 7.10625, 6.10004, 7.90975, 7.89269, 7.04068, 6.66554, 6.12377, 0.0556069, 0.0674686, 0.0530665, 0.0729894, 0.0526472, 0.0587841, 0.0725923, 0.0604633, 0.0703526, 0.0508968, 0.0600348, 0.0537796, 0.0487319, 0.0722229, 0.0645848, 0.0653725, 0.0613089, 0.052787, 0.0521268, 0.0695962, 0.0611276, 0.0579931, 0.0573824, 0.0531083, 0.0579104, 0.0509019, 0.0630631, 0.0582851, 0.0511116, 0.0608732, 6.81705, 0.0110666, 0.0220255, 0.0824367, 0.132694

-438.065,0.994295,0.453951,3,7,0,243.016,248.483,253.442,230.401,230.933,243.246,225.099,245.933,287.186,220.811,264.177,225.827,244.53,268.144,243.893,242.519,228.946,242.565,247.339,242.922,242.767,224.87,227.741,245.93,234.625,254.031,253.618,241.56,216.862,239.51,5.93029,6.74152,6.8385,4.95447,6.45804,5.85337,6.15831,6.29955,6.95538,6.12292,7.03808,6.27727,6.23446,6.8025,5.26399,5.87156,6.00948,5.67856,6.24202,6.22409,6.52181,6.11342,5.72084,5.98978,7.24662,6.76046,5.69516,5.94729,5.71114,6.31944,243.259,6.3711,33.9038,361.593,0.364561,5.8227,19.0156,0.603789,103.095
-436.629,0.95872,0.453951,3,7,0,238.774,251.007,256.01,234.892,235.1,251.559,232.858,247.963,283.757,216.701,254.503,227.213,241.624,268.557,245.34,243.269,231.279,241.079,258.652,240.324,257.291,226.88,223.625,244.309,234.267,253.556,254.291,243.74,218.279,240.04,6.08175,7.39989,6.26026,5.69799,6.44,6.33367,5.63767,6.74255,7.26275,5.66017,6.44778,6.50174,6.46689,6.78553,5.53096,6.31983,6.43457,5.7984,6.17317,6.1075,6.20764,5.88295,5.9826,6.13133,6.74059,6.63824,5.8534,5.83109,5.45288,6.0891,245.536,6.12686,41.2208,189.59,0.202757,6.42034,13.7692,0.450286,110.745
-432.773,0.947548,0.453951,3,7,0,242.343,249.033,251.613,234.869,234.055,250.734,231.176,250.329,283.662,217.534,256.301,227.418,237.431,266.221,243.524,239.572,230.939,240.809,256.531,241.807,253.431,227.39,224.575,246.601,235.705,250.554,249.435,242.045,219.772,243.399,6.09962,7.39295,6.24718,5.43741,6.61613,6.21843,5.96654,6.41546,7.02304,5.76932,6.51545,6.40787,6.51721,6.49974,5.58812,6.0817,6.43674,6.12255,6.51668,5.83525,6.53526,5.42687,5.83711,5.91187,6.80873,6.44202,5.62774,5.74283,5.37438,6.45247,242.09,6.21474,34.6203,115.258,0.198025,5.8839,10.7358,0.445,105.366
-436.433,0.886657,0.453951,3,7,0,239.059,249.186,251.794,230.923,230.136,251.406,226.487,249.445,281.095,216.987,258.77,228.022,237.137,264.971,240.645,247.814,228.255,240.456,256.997,241.3,252.089,223.305,221.697,246.23,238.897,255.647,255.36,240.912,215.849,245.81,6.27058,7.11765,6.09014,5.3017,6.62608,6.45005,6.26455,6.06382,7.10931,5.85653,7.07001,6.1398,6.51278,6.80777,5.5755,5.78701,6.30082,6.2423,6.41652,5.88294,6.65916,5.57954,5.95087,5.63962,6.70637,6.65721,6.24658,5.78281,6.28752,5.9974,244.084,6.22086,35.6751,229.991,0.192318,5.97286,15.1655,0.438541,107.225
-431.579,0.896159,0.453951,3,7,0,236.292,247.353,251.674,232.348,229.585,250.101,231.546,249.12,282.964,219.424,258.221,232.769,244.319,273.99,237.488,246.019,229.919,241.28,251.947,240.084,247.781,225.776,226.871,242.141,235.62,255.58,252.277,244.325,215.239,239.873,6.19777,7.11407,6.77368,5.68634,6.39347,6.53009,5.96008,6.3656,6.86294,5.6448,6.99705,6.24936,6.33573,7.04675,5.19925,5.84077,6.49519,5.90244,6.32313,6.41847,6.48558,5.97557,5.90931,5.96362,6.30676,6.61177,5.79888,5.94269,5.67385,6.39725,244.017,6.29587,34.0209,372.034,0.251226,5.83275,19.2882,0.501224,105.508
